latency,bram,latency_bram_product,design_name
40073,800,32058400,Autoencoder__opt5
134542,672,90412224,DepthwiseSeparableConvBlock__opt5
65998,2176,143611648,FeedForward__opt5
39782,2012,80041384,ResMLP__opt5
2092532,424,887233568,ResidualBlock__opt5
2180,620,1351600,atax__opt5
1112,20,22240,bicg__opt5
24051,176,4232976,gemm__opt5
673,0,0,gesummv__opt5
61052,376,22955552,k15mmseq__opt5
7802,118,920636,k15mmseq_imbalanced__opt5
28838,464,13380832,k15mmseq_relu__opt5
8504,232,1972928,k15mmseq_relu_imbalanced__opt5
20326,384,7805184,k15mmtree__opt5
16237,326,5293262,k15mmtree_imbalanced__opt5
17277,640,11057280,k15mmtree_relu__opt5
16490,680,11213200,k15mmtree_relu_imbalanced__opt5
36352,256,9306112,k2mm__opt5
49092,325,15954900,k3mm__opt5
5684,224,1273216,k7mmseq_balanced__opt5
10036,216,2167776,k7mmseq_unbalanced__opt5
8262,224,1850688,k7mmtree_balanced__opt5
8750,256,2240000,k7mmtree_unbalanced__opt5
667,512,341504,mvt__opt5
