latency,bram,latency_bram_product,design_name,optimizer_name
538010,138,74245380,pna,group_random_search
538006,257,138267542,pna,heuristic
538664,249,134127336,pna,heuristic
538724,233,125522692,pna,heuristic
538784,225,121226400,pna,heuristic
538933,217,116948461,pna,heuristic
539082,209,112668138,pna,heuristic
539231,201,108385431,pna,heuristic
539291,193,104083163,pna,heuristic
539351,185,99779935,pna,heuristic
539411,153,82529883,pna,heuristic
539590,145,78240550,pna,heuristic
539769,137,73948353,pna,heuristic
539948,129,69653292,pna,heuristic
538145,226,121620770,pna,discrete_simulated_annealing
538006,237,127507422,pna,discrete_simulated_annealing
538010,133,71555330,pna,grouped_discrete_simulated_annealing
